account,Q1 FY18,Q2 FY18,Q3 FY18,Q4 FY18,Dividends,notes
total_revenue,"€46,134,107","€47,838","€49,290,148",€52,85.11%,98.22%
cost_of_goods_sold,"€32,218,685","€33,408,749","€34,422,769","€36,534,107",2990,EUR
Operating Profit,"€7,048,794","€7,309,156","€7,531,003","€7,992,921",INR,GBP
net_profit,"€7,441,420","€7,716","€7,950,489","€8,438,136",,36.96%
total_current_assets,"€9,851,971","€10,215,874","€10,525,945",€11,Deloitte,31454
short_term_liabilities,"€6,316","€6,549,595","€6,748,388","€7,162,304",65963,38110
Merchandise Inventory,"€1,621","€1,681,199","€1,732,226","€1,838,473",INR,
liquidity,"€1,528,612","€1,585","€1,633",€2,KPMG,PwC
Total Balance Sheet Assets,€27,"€27,494,825","€28,329,346","€30,066,940",90.31%,
liabilities_total,€12,"€11,955,880","€12,318,764","€13,074,342",14781,EUR
owners_equity,"€14,985,426","€15,538,944",€16,"€16,992,598",INR,69.93%
receivables,"€2,834,783","€2,939,492","€3,028,711","€3,214,479",,EY
accounts_payable,"€779,404","€808,193","€832,723","€883,798",KPMG,USD
支払利息,"€643,511","€667,280","€687,534","€729,704",39.93%,32582
