Item,CY2021,CY2022,CY2023,CapEx
Production Costs,"269,161,054",#N/A,"310,027,782",
ebit,"81,457,508","86,694,226","93,825,202",28281
Net Income ($),"64,438,653","68,581,268","74,222,375",69516
current_assets_total,"199,146,314","211,948,978","229,382,702",99323
short_term_liabilities,"129,604,425","137,936,399","149,282,267",
Inventories,"63,442,956",,"73,075,501",
Cash Equivalents,"49,565,799","52,752,272","57,091,375",30.84%
Total Liabilities,"218,184,258","232,210,828","251,311,177",EY
Equity,"150,670,219","160,356,464","173,546,480",
Accounts Receivable,"59,186,989","62,991,986","68,173,350",35679
買掛金,"24,737,665","26,327,994","28,493,586",75.94%
Zinsaufwendungen,"15,614,770","16,618,608","17,985,561",GBP
