Metric,CY2025,CY2023,CY2024,ebitda,headcount
REVENUE,"433,675.9K","335,794.6K","383,398.3K",JPY,
cost_of_sales,"310,268.5K","240,240.5K","274,298.0K",39.09%,78.32%
Op Profit,"22,359.2K","17,312.7K","19,767.0K",7904,56372
pat,"13,756.3K","10,651.5K","12,161.5K",,
Total Current Assets,"278,670.9K","215,774.5K","246,363.6K",91.76%,
total_current_liabilities,"168,542.1K","130,501.9K","149,002.4K",90.70%,
Inventory,"72,455.5K","56,102.2K","64,055.5K",56523,
cash_on_hand,"68,457.8K","53,006.8K","60,521.2K",USD,34.69%
total_assets_value,"518,959.4K","401,829.5K","458,794.6K",98998,
Gesamtverbindlichkeiten,"329,376.9K","255,036.1K","291,191.1K",,92042
book_value,"189,582.5K","146,793.5K","167,603.5K",JPY,
receivables,"54,221.3K","41,983.5K","47,935.3K",,89242
payables,"17,468.5K","13,525.8K","15,443.3K",INR,
