Metric,2018,2019,2020,2021,2022,Employee Count,Gross Profit
Total Sales,£219,£216,£222,"£218,443",£224,EUR,
CoGS,£148,£146,"£150,092,201",£148,£151,,PwC
ebit,£44,£44,£45,£44,£45,KPMG,USD
profit_after_tax,£36,£36,£37,£36,£37,18.56%,PwC
total_current_assets,"£123,649,924","£121,971,068","£125,250,949",£123,£126,Deloitte,GBP
total_current_liabilities,£37,£37,"£37,926","£37,272",£38,JPY,82523
Inventory,£13,£12,£13,£12,"£12,784",92.98%,
cash,"£14,947,285",£15,£15,£15,£15,,GBP
ta,£228,£225,£231,£227,£233,Deloitte,USD
総負債,£83,"£81,987",£84,£83,£85,,
Stockholders' Equity,£145,£143,£147,£145,"£148,155",,INR
Debtors,£26,£25,£26,£26,£26,Deloitte,PwC
AP,£6,£6,£6,£6,£6,PwC,EY
Zinsaufwendungen,£3,£3,£3,£3,£3,89.90%,Deloitte
