account,Period 1,Period 2,Period 3,Period 4,Market Cap,product_line,Region
Revs,"$338,465,058","$371,069,838","$406,113,739","$447,347,146",43.36%,,Deloitte
Cost of Revenue,"$189,843,262","$208,131,112","$227,787,050","$250,914,650",EY,,INR
NI,"$58,672,799","$64,324,826","$70,399,674","$77,547,470",JPY,USD,
short_term_assets,"$112,876,744","$123,750,309","$135,437,309","$149,188,486",,,
Total Current Liabilities,"$53,114,876","$58,231,501","$63,730,894","$70,201,598",7.26%,57.50%,38.60%
Merchandise Inventory,"$27,286,629","$29,915,186","$32,740,381","$36,064,567",73237,,GBP
Cash,"$10,273,611","$11,263,282","$12,326,988","$13,578,568",INR,60442,PwC
assets_total,"$206,797,966","$226,719,084","$248,130,474","$273,323,577",Deloitte,EY,19.90%
total_liabilities,—,"$104,355,461","$114,210,809","$125,806,824",25.51%,6746,EUR
Stockholders' Equity,"$111,611,903","$122,363,623","$133,919,665","$147,516,753",JPY,,89.11%
AR,"$32,580,518","$35,719,042","$39,092,354",—,16989,52818,USD
AP,"$3,993,579","$4,378,286","$4,791,772","$5,278,289",,61.58%,
Zinsaufwendungen,"$5,441,603","$5,965,800","$6,529,211","$7,192,133",41588,PwC,88.89%
