metric,CY2019,CY2020,CY2018,country,Country,Product Line
Total Revenue,"44,287,448","51,170,487","38,370,976",USD,JPY,JPY
Cost of Products,"27,668,487","31,968,651","23,972,184",KPMG,PwC,36.58%
Operating Result,"7,278,831","8,410,088","6,306,434",,PwC,JPY
Current Assets,"37,359,234","43,165,508","32,368,320",54.91%,,98630
Stocks,"5,139,861","5,938,685","4,453,214",USD,Deloitte,
ta,"89,625,233","103,554,553","77,651,973",57.37%,,EY
Total Passifs,"50,660,412","58,533,921","43,892,560",14.00%,Deloitte,GBP
trade_receivables,"9,281,281","10,723,753","8,041,371",,Deloitte,JPY
creditors,"2,577,334","2,977,897","2,233,022",,79.46%,
interest_expense,"1,019,914","1,178,427","883,661",,85430,PwC
