metric,Q1 FY22,Q2 FY22,Q3 FY22
net_sales,246563548.65,257830909.88,279975478.90
Herstellungskosten,140612230.37,147037871.16,159666652.90
operating_earnings,31213453.83,32639833.61,35443202.10
当期純利益,8935653.53,9343991.41,10146527.70
Current Assets,80660867.17,84346874.82,91591255.23
current_obligations,35734704.62,37367694.69,40577129.48
Lagerbestand,29514663.91,30863413.08,33514208.44
Cash and Cash Equivalents,27570214.79,28830107.30,31306266.20
Total Assets ($),197200060.91,206211629.47,223922724.17
Liabilities Total,81521127.84,85246447.34,92568090.18
純資産,115678933.07,120965182.13,131354633.98
AR,17808601.65,18622411.91,20221852.75
payables,8034280.14,8401427.42,9123008.83
ie,2814726.88,2943353.13,3196151.71
