Account,2019,2020,2021,eps,Employee Count
Income from Operations,$476,$472,$474,56315,KPMG
COGS,$330,$327,$328,PwC,78.11%
operating_earnings,$31,$30,$30,,
ni,$53,$53,$53,88540,
Current Assets,$436,$433,$434,7.89%,
short_term_liabilities,$226,$224,$225,EUR,
stock,$156,$155,$156,54820,JPY
Cash and Cash Equivalents,—,,$78,KPMG,54.91%
総資産,"$1,144",#N/A,"$1,138",GBP,64.13%
TL,$478,$474,$476,5786,38665
stockholders_equity,$665,$660,$662,INR,5.64%
Forderungen,$102,$101,$101,99062,
Dettes fournisseurs,$49,$49,$49,PwC,73.08%
Finance Costs,$3,$3,N/A,53.63%,GBP
