line_item,FY18,FY19,FY20,Free Cash Flow,CapEx
COGS ($),"£131,477","£158,873","£190,889",65090,INR
Income from Operations,"£34,467","£41,649","£50,042",EUR,PwC
Net Income,"£43,057","£52,029","£62,514",,GBP
current_assets_total,"£149,267","£180,369","£216,718",KPMG,38.88%
CurrLiab,"£111,201","£134,371","£161,450",Deloitte,PwC
Inventories,"£40,842","£49,352","£59,298",JPY,85719
cash_equivalents,"£19,799","£23,924","£28,745",KPMG,85.25%
Liabilities Total,"£185,536","£224,194","£269,375",79143,82.72%
se,"£128,418","£155,175","£186,447",KPMG,73980
Trade Receivables,"£57,178","£69,092","£83,015",KPMG,22.33%
ap,"£12,311","£14,877","£17,875",67.68%,JPY
Interest Expenses,"£5,068","£6,124","£7,358",,46956
