Description,FY21,FY22,FY23,FY24,Region
REVENUE,457946533.16,477883340.32,535885726.75,558312413.18,
COGS,321488251.64,335484316.27,376203230.94,391947244.03,USD
EBIT ($),94713565.40,98836942.15,110833130.40,115471469.77,67.23%
Net Income ($),77034767.05,80388493.27,90145528.21,93918096.49,34005
CurrAssets,170540154.47,177964659.13,199564857.46,207916597.88,KPMG
Short-Term Liabilities,100191559.09,104553421.55,117243439.07,122150048.28,82448
Merchandise Inventory,38370123.26,40040575.36,44900441.21,46779513.68,
cash_equivalents,45240225.56,47209769.14,52939785.32,55155302.37,23487
ta,326916290.60,341148666.15,382555082.94,398564919.48,66.49%
liabilities_total,174124274.07,181704814.20,203758968.34,212286231.27,USD
total_equity,152792016.53,159443851.95,178796114.60,186278688.21,88.32%
AR,64153480.53,66946416.99,75071939.73,78213682.02,EY
Creditors,13116708.96,13687747.89,15349078.12,15991433.28,
ie,11789704.79,12302972.29,13796227.43,14373596.17,37.01%
