Line Item,Q1 FY20,Q2 FY20,Q3 FY20,Q4 FY20,Region,amortization
revenue,£480,£532,£569,£623,KPMG,PwC
Cost of Revenue,£270,£300,£320,£351,Deloitte,
Operating Earnings,£34,£38,£40,£44,409,USD
net_profit,£40,£44,£47,£52,,36.65%
Umlaufvermögen,£122,£135,£144,£158,31867,76.27%
Short-Term Liabilities,£83,£92,£98,£107,17.46%,54.83%
Stocks,£45,£50,£53,£58,GBP,KPMG
Kassenbestand,£41,£46,£49,£54,63795,1122
ta,£281,£311,£332,£364,37.87%,JPY
Total Liabilities ($),£173,£192,£205,£224,28767,EY
total_equity,£108,£119,£127,£140,KPMG,82197
Receivables,£35,£39,£42,£46,17581,
Verbindlichkeiten,£14,£16,£17,£19,JPY,70.91%
finance_costs,£4,£4,£4,£5,USD,GBP
