metric,FY2020,FY2021,FY2022,FY2023,FY2024,fcf
sales,"€296,920","€314,432","€333,190","€358,589","€383,128",
Direct Costs,"€177,484","€187,953","€199,165","€214,347","€229,016",89813
Résultat opérationnel,"€30,759","€32,574","€34,517","€37,148","€39,690",EY
Résultat net,"€26,683","€28,257","€29,942","€32,225","€34,430",32.27%
Curr Assets,"€283,712","€300,446","€318,370","€342,638","€366,086",17.27%
total_current_liabilities,"€114,160","€120,893","€128,105","€137,870","€147,305",489
Merchandise Inventory,"€91,139","€96,515","€102,273",—,"€117,601",INR
cash_balance,"€49,673","€52,602","€55,741","€59,990","€64,095",
Total Assets ($),"€673,925","€713,674","€756,250",—,"€869,595",79.32%
total_debt,"€196,861","€208,472","€220,909",#N/A,"€254,019",EY
owners_equity,"€477,064","€505,201","€535,340","€576,149","€615,576",18.60%
Accts Receivable,"€117,814","€124,763",,"€142,284","€152,021",JPY
Payables,"€14,959","€15,841","€16,786","€18,066","€19,302",25.81%
Charges d'intérêts,"€2,289","€2,424","€2,568","€2,764","€2,953",74800
