description,Period 1,Period 2,Period 3,Period 4,Period 5,market_cap,Amortization,Gross Profit
Net Revenue,"363,000,711","374,900,805","392,044,822","423,161,869","444,111,704",84.70%,EUR,EUR
Cost of Merchandise,"138,895,909","143,449,273","150,009,133","161,915,530","169,931,620",Deloitte,53.47%,35403
op_income,"44,670,891","46,135,317","48,245,061","52,074,327","54,652,415",11.79%,,PwC
net_profit,"16,565,271","17,108,323","17,890,678","19,310,681","20,266,712",94909,EY,
Curr Assets,"108,049,724","111,591,871","116,694,908","125,957,117","132,192,983",,20418,
Passifs courants,"52,918,037","54,652,826","57,152,071","61,688,297","64,742,352",INR,,47355
Inventories,"20,808,118","21,490,261","22,473,000","24,256,707","25,457,605",,9.38%,40.43%
C&CE,"27,103,347","27,991,865","29,271,918","31,595,264","33,159,477",INR,JPY,JPY
ta,"214,072,757","221,090,611","231,200,968","249,551,655","261,906,421",,GBP,
Liabilities Total,"112,864,418","116,564,403","121,894,832","131,569,765","138,083,501",EUR,38.89%,
Shareholders' Equity,"101,208,339","104,526,208","109,306,136","117,981,890","123,822,919",EY,92.43%,
receivables,"28,243,405","29,169,297","30,503,193","32,924,267","34,554,276",38.97%,97646,
買掛金,"12,579,008","12,991,380","13,585,469","14,663,763","15,389,735",EUR,8.91%,84.62%
Borrowing Costs,"6,533,503","6,747,688","7,056,256","7,616,319","7,993,387",PwC,76.32%,68802
