line_item,FY2025,FY2024,FY2023,FY2026,country
Income from Operations,340107.89,340991.37,343024.95,345897.68,
op_profit,21540.79,21596.75,21725.54,21907.49,USD
Earnings,59627.67,59782.56,60139.08,60642.73,KPMG
CA,96315.41,96565.60,97141.49,97955.02,48543
Total Current Liabilities,66121.12,66292.88,66688.23,67246.72,KPMG
Merchandise Inventory,14586.06,14623.95,14711.16,14834.36,
Cash & Cash Equivalents,23418.93,23479.77,23619.79,23817.60,JPY
total_assets,215609.80,216169.88,217459.06,219280.21,78.62%
総負債,131773.59,132115.89,132903.79,134016.82,
net_assets,83836.21,84053.99,84555.27,85263.39,
Receivables,39227.95,39329.85,39564.40,39895.74,INR
Creditors,13263.17,13297.62,13376.93,13488.95,
Net Interest Expense,1545.08,1549.09,1558.33,1571.38,73538
