Account,FY2023,FY2024,FY2025,FY2026,Region
Chiffre d'affaires,"€122,800,206","€128,712,490","€131,864,627","€136,668,513",INR
cogs,"€38,662,752","€40,524","€41,516,619","€43,029,087",77088
Operating Earnings,"€6,926,477","€7,259,956","€7,437,751","€7,708,711",22.35%
Profit After Tax,"€9,816,611","€10,289,238","€10,541,219","€10,925,240",
Actifs courants,"€69,954,803","€73,323","€75,118,473","€77,855,072",INR
inventory,€18,"€19,236,724","€19,707,827","€20,425,791",16812
現金,"€21,202,301","€22,223,098","€22,767,336",€24,
Total Actifs,€172,€180,"€184,660,588","€191,387,853",Deloitte
tl,"€107,533,986","€112,711,270","€115,471,541","€119,678,220",
trade_receivables,"€30,399,397","€31,862,993","€32,643,310","€33,832,520",
Accounts Payable,"€11,676",€12,"€12,537,971","€12,995",USD
interest_expenses,"€1,055,970","€1,106,810","€1,133,916","€1,175,225",
