account,Q1 FY22,Q2 FY22,Q3 FY22,country
Chiffre d'affaires,"121,855,474","140,356,512","164,918,601",25.18%
cost_of_goods_sold,"47,183,632","54,347,414","63,858,096",
operating_income,"17,547,454","20,211,643","23,748,638",86998
profit_for_period,"7,872,399","9,067,647","10,654,466",EY
current_assets_total,"69,805,919","80,404,392","94,474,989",63285
Passifs courants,"43,099,694","49,643,422","58,330,915",10516
stock,"22,879,351","26,353,070","30,964,801",Deloitte
Trésorerie,"12,552,748","14,458,602","16,988,827",
total_assets,"161,175,200","185,646,062","218,133,725",INR
total_debt,"72,070,120","83,012,361","97,539,346",22.73%
Book Value,"89,105,081","102,633,701","120,594,379",21.75%
Forderungen,"24,640,528","28,381,643","33,348,370",PwC
買掛金,"7,221,966","8,318,461","9,774,174",INR
ie,"1,347,696","1,552,314","1,823,966",44.70%
