line_item,FY2023,FY2024,FY2025,FY2026,FY2027,tax_rate,Capital Expenditure
top_line,£328,£369,£420,£471,£535,EY,INR
COS,£169,£190,£216,£243,£276,,
Op Profit,£74,£83,£95,£106,£121,22.09%,
当期純利益,£19,£21,£24,£27,£31,,GBP
Total Current Assets,£323,£363,£413,£463,£527,EY,49.44%
short_term_liabilities,£100,£112,£128,£144,£163,,
Lagerbestand,£78,£88,£100,£112,£128,,82287
liquidity,£72,£81,£92,£103,£117,72208,
Gesamtvermögen,£607,£683,£778,£872,£992,41.79%,
Total Liabilities ($),£224,£252,£287,£322,£366,,
純資産,£383,£431,£491,£551,£626,,48.41%
Net Payables,£10,£11,£12,£14,£16,,GBP
borrowing_costs,£6,£6,£7,£8,£9,67769,INR
