Line Item,FY2020,FY2021,FY2022,FY2023,headcount,Currency
net_sales,"476,645.2K","483,556.9K","504,354.0K","517,959.3K",Deloitte,
売上原価,"154,660.9K","156,903.6K","163,651.8K","168,066.5K",57.20%,KPMG
operating_profit,"65,996.4K","66,953.4K","69,833.0K","71,716.8K",INR,
profit_for_period,"34,172.7K","34,668.2K","36,159.2K","37,134.6K",KPMG,EUR
Umlaufvermögen,"161,672.0K","164,016.3K","171,070.4K","175,685.2K",EY,63196
Total Current Liabilities,"124,565.7K","126,372.0K","131,807.1K","135,362.7K",69986,
Inv,"58,082.5K","58,924.8K","61,459.0K","63,116.9K",,USD
Trésorerie,"37,186.2K",#N/A,"39,348.0K","40,409.4K",PwC,1905
total_assets,"368,774.0K","374,121.5K","390,211.9K","400,738.2K",EUR,57830
Total Liabilities ($),—,"211,875.8K","220,988.2K","226,949.6K",72678,53333
Capitaux propres,"159,926.7K","162,245.7K","169,223.7K","173,788.6K",31818,
Créances clients,"55,624.8K","56,431.5K","58,858.5K","60,446.2K",KPMG,GBP
Dettes fournisseurs,—,"22,820.3K","23,801.8K","24,443.9K",PwC,92158
interest_expense,"5,969.8K","6,056.3K","6,316.8K","6,487.2K",,96653
