Metric,Mar 2020,Jun 2020,Free Cash Flow,Currency
Revenue,"£496,566",£475,KPMG,56749
COS,"£206,344","£197,202",PwC,EY
ebit,£38,"£36,110",PwC,37789
ni,"£43,673",£42,,Deloitte
流動資産,"£112,594","£107,606",,
流動負債,"£46,286","£44,235,391",41682,16.92%
Stocks,"£21,322","£20,378",PwC,28520
Trésorerie,"£31,716","£30,311",KPMG,52828
total_assets,"£315,674","£301,688",744,64708
total_obligations,"£109,922","£105,052",12.11%,69864
total_equity,"£205,752","£196,636,330",EY,34116
ar,"£28,833","£27,556",Deloitte,6.61%
Net Payables,"£4,858",£5,36821,INR
Charges d'intérêts,"£10,034","£9,589",27.93%,USD
