Account,Mar 2018,Jun 2018,Sep 2018,Dec 2018,operating_cash_flow
Chiffre d'affaires,"$189,377",$184,$175,$172,PwC
cogs,$86,$84,$80,$78,79477
Net Profit,$23,$22,"$21,187",$21,Deloitte
Umlaufvermögen,$124,$120,$114,$113,
Stocks,$31,"$29,912,297","$28,408,429",$28,33.56%
現金,$32,$31,$29,$29,33.27%
Total Actifs,$253,$246,$233,$230,KPMG
Gesamtverbindlichkeiten,"$88,166",$86,$81,$80,PwC
Capitaux propres,"$164,994,604",$160,$152,$150,18.63%
trade_receivables,"$23,102","$22,434",$21,$21,34297
Verbindlichkeiten,$7,$6,"$6,027,376",$6,JPY
interest_expense,$3,$3,$2,$2,PwC
