account,FY18,FY19,FY20
sales,479976046.86,466771512.52,452475.16
cost_of_revenue,228903033.41,222605.72,215787719.43
Operating Income,61953501.23,60249109.64,58403790.21
Net Profit,62738095.11,61012118.70,59143429.70
current_assets,286955837.30,279.06,270514308.18
current_obligations,134532835.93,130.83,126.82
Stock,100940062.30,98163118.48,95156562.67
cash_on_hand,87483614.47,85076.87,82471120.51
TA,732800.23,712640.29,690813430.97
Shareholders' Equity,505617465.08,491707514.32,476647417.34
receivables,98532.16,95821459.09,92.89
Accts Payable,13131654.80,12770392.22,12379258.59
finance_costs,4988805.09,4851558.97,4702964.64
