item,FY2018,FY2019,FY2020,Capital Expenditure
turnover,"$102,584,569","$119,450","$140,082,482",
COS,"$47,488,733","$55,296,120","$64,847,370",INR
Operating Result,"$25,330,320","$29,494,752","$34,589,355",30883
Résultat net,"$9,812,281","$11,425,469","$13,398,980",64.17%
current_assets_total,"$25,552","$29,752,508","$34,891,632",JPY
Total Current Liabilities,"$13,048,356","$15,194","$17,817,943",95310
INV,"$4,891,092","$5,695,212",$7,
C&CE,"$3,337,031","$3,885,656","$4,556,822",USD
Total Actifs,"$71,407,828","$83,147,634",$98,INR
総負債,"$28,784,204","$33,516,473",$39,27.46%
Forderungen,"$7,626,345","$8,880,155","$10,414,016",
Accounts Payable,"$1,632","$1,900,693","$2,228,998",57923
支払利息,"$5,037,246","$5,865,395","$6,878,519",EY
