item,2018-03-31,2018-06-30,2018-09-30
net_revenue,"$184,051","$222,680","$263,492"
Cost of Revenue,"$110,715","$133,952","$158,502"
ebit,"$10,031","$12,136","$14,360"
NI,"$12,155","$14,706","$17,401"
Short-Term Liabilities,"$29,643","$35,865","$42,438"
Merchandise Inventory,"$37,971","$45,940","$54,360"
Cash,"$19,954","$24,142","$28,567"
assets_total,"$210,710","$254,935","$301,658"
Liabilities Total,"$60,923","$73,710","$87,220"
Net Assets,"$149,787","$181,225","$214,439"
debtors,"$40,364","$48,836","$57,786"
Accounts Payable,"$2,781","$3,365","$3,982"
borrowing_costs,"$1,594","$1,928","$2,281"
