account,FY19,FY20,EBITDA,dividends
Ingresos,"$278,788","$300,099",INR,
売上原価,"$129,591","$139,497",INR,
operating_profit,"$64,504","$69,435",32.41%,9.69%
Net Profit (Loss),"$36,953","$39,778",USD,EY
current_assets,"$106,387","$114,519",PwC,EUR
current_obligations,"$42,244","$45,473",GBP,EUR
Stock,"$24,964","$26,873",36.55%,77163
cash_balance,"$25,070","$26,986",51.93%,EY
総資産,"$200,209","$215,513",40813,Deloitte
Total Debt,"$72,564","$78,110",,78272
Total Equity,"$127,645","$137,403",,14705
trade_receivables,"$32,246",#N/A,Deloitte,JPY
Accts Payable,"$7,509","$8,083",,
Zinsaufwendungen,"$5,803","$6,246",4330,72124
