line_item,FY22,FY23,FY24,FY25,Notes,amortization,employee_count
収益,295620289.45,293290007.98,297553011.32,296737594.79,,18754,96366
Cost of Merchandise,199016221.11,—,200317359.83,199768408.61,KPMG,93.48%,45.55%
Operating Income,40318450.68,40000633.05,40582046.76,40470835.41,PwC,,56.19%
net_earnings,9235979.65,9163175.34,9296363.13,9270887.30,,EY,53249
current_assets_total,119666652.72,118723358.25,#N/A,120118936.26,,KPMG,4476
Kurzfristige Verbindlichkeiten,48646541.73,—,48964585.65,48830402.73,Deloitte,32787,68982
Inv,43113663.65,42773812.24,43395534.43,43276612.97,57436,PwC,EY
cash_on_hand,29940241.02,29704231.54,30135985.90,30053401.01,EY,40118,51.16%
sum_of_assets,261760552.93,259697177.08,263471904.84,—,USD,71797,
Gesamtverbindlichkeiten,90640839.17,—,91233435.62,90983418.82,GBP,,INR
Shareholders' Equity,171119713.76,#N/A,172238469.22,171766465.61,26526,9.37%,JPY
Accts Receivable,24303999.17,24112418.41,N/A,24395856.83,EY,26.00%,73613
Accts Payable,5354460.73,5312253.21,5389467.41,5374698.07,91673,,36.77%
Finance Costs,N/A,8526259.84,8650189.99,,85514,PwC,
