Description,2022-03-31,2022-06-30,2022-09-30,2022-12-31
Rev,#N/A,"$129,821","$143,046","$152,404"
Cost of Sales,"$61,436","$65,461",N/A,"$76,848"
operating_earnings,"$30,011","$31,977","$35,234","$37,540"
Net Earnings,N/A,"$22,212","$24,474","$26,075"
Short-Term Assets,"$108,443","$115,547","$127,317",—
Passifs courants,"$35,993","$38,351","$42,258","$45,022"
INV,"$35,305","$37,618","$41,450","$44,162"
Cash Balance,"$31,424","$33,483","$36,894","$39,307"
Total Balance Sheet Assets,"$274,794","$292,794","$322,620","$343,727"
Total Liabilities ($),"$67,856",,"$79,666","$84,878"
Net Assets,"$206,938","$220,493","$242,954","$258,849"
売掛金,"$41,714",,"$48,974","$52,178"
Verbindlichkeiten,"$6,456","$6,879","$7,579","$8,075"
支払利息,"$4,020","$4,284","$4,720","$5,029"
