account,Q1 FY18,Q2 FY18,Q3 FY18
top_line,189095920,185078876,177428266
Direct Costs,102018928,99851697,95724125
op_income,43339196,42418523,40665068
NI,31546890,30876726,29600374
current_assets,98520872,96427952,92441907
流動負債,45515706,44548797,42707283
merchandise_inventory,31515901,30846395,29571297
C&CE,16527472,16176372,15507689
Total Actifs,184211957,180298665,172845655
liabilities_total,81433084,79703167,76408475
純資産,102778873,100595498,96437180
Debtors,25957109,25405692,24355496
Payables,5580974,5462415,5236615
ie,4502307,4406662,4224504
