account,Period 1,Period 2,Period 3,Amortization,notes
Income from Operations,"142,141","145,048","152,389",88750,89082
売上原価,"43,148","44,030","46,259",60.77%,PwC
Op Income,"30,744","31,373","32,961",19884,9.96%
Net Profit (Loss),"6,414","6,546","6,877",30260,KPMG
Curr Assets,"62,205","63,477","66,690",JPY,94424
Passifs courants,"24,433","24,932","26,194",,6.68%
Stock,"24,263","24,759","26,012",92.24%,53500
cash_and_cash_equivalents,"13,739","14,019","14,729",PwC,EY
ta,"133,878","136,615","143,530",KPMG,
Total Passifs,"49,527","50,539","53,097",,49.98%
Book Value,"84,351","86,076","90,433",,GBP
accounts_receivable,"24,204","24,699","25,949",,
Payables,"3,676","3,751","3,941",38.01%,
Charges d'intérêts,"2,088","2,131","2,239",PwC,52846
