description,FY23,FY24,FY25
Net Sales,"489,917","518,609","542,873"
COS,"203,791","215,727","225,820"
income_from_operations,"50,093","53,026","55,507"
Net Income ($),"87,253","92,363","96,684"
Short-Term Assets,"235,622","249,421","261,091"
current_liabilities,"118,821","125,780","131,665"
Inventaire,"87,341","92,456","96,782"
Kassenbestand,"52,756","55,846","58,459"
total_assets,"492,153","520,977","545,351"
Total Passifs,"254,864","269,791","282,413"
Trade Receivables,"46,994","49,746","52,074"
買掛金,"18,369","19,445","20,355"
Net Interest Expense,"4,123","4,364","4,568"
