Line Item,2018-03-31,2018-06-30
Umsatz,"20,024,494","19,643,477"
Coût des ventes,"9,896,144","9,707,845"
op_profit,"1,834,248","1,799,347"
Earnings,"2,742,178","2,690,001"
current_assets,"6,419,410","6,297,265"
Short-Term Liabilities,"6,705,459","6,577,871"
merchandise_inventory,"1,833,668","1,798,777"
cash,"907,507","890,240"
sum_of_assets,"20,434,246","20,045,433"
TL,"12,486,619","12,249,030"
Capitaux propres,"7,947,627","7,796,403"
売掛金,"1,953,739","1,916,564"
Trade Payables,"558,398","547,773"
Zinsaufwendungen,"334,513","328,148"
