Description,CY2023,CY2024,CY2025,CY2026,effective_tax_rate,product_line
Net Sales,"€434,523,068","€437,473,760","€439,615,978","€448,459,431",Deloitte,21799
direct_costs,"€293,750,709","€295,745,465","€297,193,669","€303,172,110",Deloitte,KPMG
Operating Profit,"€60,509,516","€60,920,415","€61,218,729","€62,450,224",Deloitte,
bottom_line,"€30,800,705","€31,009,862","€31,161,711","€31,788,570",25985,PwC
current_assets,"€256,844,555","€258,588,695","€259,854,950","€265,082,274",85.98%,
total_current_liabilities,"€170,033,278","€171,187,913","€172,026,185","€175,486,718",PwC,92.70%
C&CE,"€52,888,060","€53,247,204","€53,507,944","€54,584,327",31.58%,PwC
Total Actifs,"€590,388,304","€594,397,420","€597,308,061","€609,323,698",KPMG,
Total Liabilities ($),"€361,283,311","€363,736,657","€365,517,800","€372,870,671",EY,GBP
shareholders_equity,"€229,104,993","€230,660,763","€231,790,261","€236,453,027",,Deloitte
trade_receivables,"€57,627,430","€58,018,758","€58,302,863","€59,475,702",EUR,USD
Dettes fournisseurs,"€39,613,928","€39,882,932","€40,078,231","€40,884,457",41346,73155
borrowing_costs,"€5,366,534","€5,402,976","€5,429,433","€5,538,654",KPMG,
